batch,time,absorbance,substrate,inhibitor
SML-11 B3,4.962266922,0.311067283,0.3,yes
SML-11 B3,5.443405628,0.332692504,0.3,yes
SML-10 B2,0.18776153,0.062841192,0.2,yes
SML-10 B2,0.665547311,0.079752259,0.2,yes
SML-10 B2,1.143333673,0.096614555,0.2,yes
SML-10 B2,1.622795463,0.112934426,0.2,yes
SML-10 B2,2.10393405,0.127475262,0.2,yes
SML-10 B2,2.583396673,0.144940391,0.2,yes
SML-10 B2,3.061182499,0.159951642,0.2,yes
SML-10 B2,3.538968086,0.175273195,0.2,yes
SML-10 B2,4.018430233,0.191087082,0.2,yes
SML-10 B2,4.496216297,0.20617047,0.2,yes
SML-10 B2,4.974001884,0.222093687,0.2,yes
SML-10 B2,5.455141068,0.235417783,0.2,yes
SML-9 B1,0.199498206,0.036244214,0.1,yes
SML-9 B1,0.677282572,0.045146305,0.1,yes
SML-9 B1,1.155068278,0.054418478,0.1,yes
SML-9 B1,1.634530783,0.063880436,0.1,yes
SML-9 B1,2.11566925,0.071268529,0.1,yes
SML-9 B1,2.595131636,0.081449404,0.1,yes
SML-9 B1,3.072917461,0.088824794,0.1,yes
SML-9 B1,3.550703287,0.098149739,0.1,yes
SML-9 B1,4.030165672,0.106544517,0.1,yes
SML-9 B1,4.50795126,0.114290029,0.1,yes
SML-9 B1,4.985737324,0.120855004,0.1,yes
SML-9 B1,5.46687603,0.130244225,0.1,yes
