STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DAY
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-19,0.14,35,40,33,78
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-20,0.06,31,33,27,79
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-21,0,32,36,30,80
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-22,0,36,41,32,81
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-23,0,35,38,30,82
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-24,0.14,32,37,27,83
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-25,0.06,35,36,32,84
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-26,0.21,32,34,29,85
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-27,0,34,46,26,86
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-28,0,37,39,26,87
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-29,0,26,30,20,88
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-30,0.28,19,24,12,89
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-03-31,0.14,14,16,7,90
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-01,0,13,24,7,91
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-02,0.14,19,26,10,92
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-03,0,15,18,4,93
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-04,0,15,28,4,94
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-05,0.07,20,27,9,95
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-06,0,13,20,3,96
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-07,0,14,24,3,97
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-08,0.07,18,27,8,98
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-09,0.03,26,31,22,99
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-10,0,32,40,27,100
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-11,0.02,33,42,25,101
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-12,0,35,39,33,102
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-13,0,33,37,30,103
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-14,0,30,34,26,104
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-15,0,30,35,24,105
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-16,0,29,39,19,106
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-17,0,34,45,25,107
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-18,0,40,52,31,108
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-19,0,41,57,27,109
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-20,0,44,56,32,110
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-21,0,47,62,33,111
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-22,0,51,67,35,112
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-23,0,53,67,41,113
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-24,0.04,50,56,32,114
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-25,0,46,66,29,115
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-26,0,51,62,40,116
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-27,0,50,56,33,117
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-28,0,43,59,26,118
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-29,0,55,73,43,119
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-04-30,0,66,81,39,120
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-01,0,44,46,37,121
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-02,0,49,72,31,122
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-03,0,58,73,38,123
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-04,0,63,82,41,124
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-05,0.01,67,83,54,125
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-06,0,64,83,40,126
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-07,0,66,87,43,127
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-08,0.32,63,67,55,128
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-09,0,55,69,39,129
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-10,0,45,54,30,130
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-11,0,48,66,29,131
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-12,0,59,70,50,132
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-13,0,62,78,49,133
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-14,0,67,83,51,134
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-15,0,65,83,47,135
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-16,0,76,89,61,136
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-17,1.14,65,67,54,137
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-18,0.01,56,75,45,138
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-19,0,51,67,42,139
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-20,0,56,73,38,140
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-21,0,61,74,45,141
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-22,0,64,83,53,142
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-23,0,73,83,64,143
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-24,0,77,92,70,144
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-25,0,78,93,60,145
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-26,0,78,93,58,146
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-27,0.18,72,83,61,147
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-28,0,76,89,64,148
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-29,0,79,92,63,149
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-30,0.28,73,80,62,150
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-05-31,0,69,82,60,151
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-01,0.06,71,82,58,152
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-02,0.34,63,67,57,153
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-03,0,60,75,52,154
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-04,0,69,88,50,155
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-05,0.51,71,88,58,156
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-06,0.5,70,75,56,157
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-07,0,65,76,50,158
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-08,0,70,82,61,159
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-09,0.07,76,91,66,160
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-10,0,75,87,64,161
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-11,0.69,68,70,49,162
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-12,0,58,75,46,163
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-13,0,66,81,49,164
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-14,0,73,84,64,165
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-15,0.15,77,86,69,166
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-16,0.43,72,75,63,167
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-17,0.52,67,75,58,168
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-18,0,69,79,56,169
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-19,0,71,81,61,170
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-20,0,72,84,57,171
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-21,0,74,86,60,172
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-22,0,76,85,64,173
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-23,0.02,74,84,64,174
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-24,0.02,73,82,64,175
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-25,0,70,80,61,176
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-26,0,73,84,64,177
USW00014914,"FARGO HECTOR INTERNATIONAL AIRPORT, ND US",2018-06-27,0,76,89,65,178
